,Common name,Binomial name,Population,Status,Trend,Notes,Image,popNoCitation,popNoCitation_Gmean
0,Hainan black crested gibbon,Nomascus hainanus,20[1],CR[1],[1],"Population was estimated at over 2,000 in the late 1950s.[1]",,20,20.0
1,Eastern black crested gibbon,Nomascus nasutus,35–37[2],CR[2],[2],Previously thought to be possibly extinct. Numbers may be higher.[2],,35–37,35.98610843089316
2,Sarawak surili,Presbytis chrysomelas,200–500[3],CR[3],[3],,,200–500,316.2277660168377
3,Perrier's sifaka,Propithecus perrieri,230[4],CR[4],[4],One of the 25 most endangered primates.[4],,230,230.0
4,Silky sifaka,Propithecus candidus,250[5],CR[5],[5],Estimate is believed to be a maximum.[5],,250,250.0
5,Tonkin snub-nosed monkey,Rhinopithecus avunculus,250[6],CR[6],[6],,,250,250.0
6,Barbara Brown's titi,Callicebus barbarabrownae,260[7],CR[7],[7],Minimum estimation.[7],,260,260.0
7,Myanmar snub-nosed monkey,Rhinopithecus strykeri,260–330[8],CR[8],[8],,,260–330,292.9163703175361
8,Superagui lion tamarin,Leontopithecus caissara,400[9],CR[9],[9],Maximum estimate.[9],,400,400.0
9,Blond capuchin,Cebus flavius,500,EN,[10],,,500,500.0
10,Greater bamboo lemur,Prolemur simus,500[11],CR,,,,500,500.0
11,Kashmir gray langur,Semnopithecus ajax,500[12],EN[12],[12],Maximum estimate; 250 mature.[12],,500,500.0
12,Coimbra Filho's titi,Callicebus coimbrai,"500–1,000[13]",EN[13],[13],,,500–1000,707.1067811865473
13,Gray-shanked douc,Pygathrix cinerea,550–700[14],CR[14],[14],,,550–700,620.4836822995426
14,Arunachal macaque,Macaca munzala,569[15],EN[15],[15],"While one source gives a minimum estimate of 569, another claims adult species number less than 250.[15]",,569,569.0
15,Gray snub-nosed monkey,Rhinopithecus brelichi,750[16],EN[16],[16],,,750,750.0
16,White-headed langur,Trachypithecus poliocephalus,764–864[17],CR[17],[17],,,764–864,812.4629222309167
17,Northern muriqui,Brachyteles hypoxanthus,855[18],CR[18],[18],Minimum estimate.[18],,855,855.0
18,Black lion tamarin,Leontopithecus chrysopygus,"1,000[19]",EN[19],[19],,,1000,1000.0
19,Tana River mangabey,Cercocebus galeritus,"1,000–1,200[20]",EN[20],[20],,,1000–1200,1095.445115010332
20,Kipunji,Rungwecebus kipunji,"1,117[21]",EN[21],[21],,,1117,1117.0
21,Sanje mangabey,Cercocebus sanjei,"1,300[22]",EN[22],[22],Estimate is likely a maximum.[22],,1300,1300.0
22,Southern muriqui,Brachyteles arachnoides,"1,300[23]",EN[23],[23],,,1300,1300.0
23,Black crested gibbon,Nomascus concolor,"1,300–2,000[24]",CR[24],[24],,,1300–2000,1612.4515496597098
24,Siau Island tarsier,Tarsius tumpara,"1,358–12,470[25]",CR[25],[25],Amongst the world's top 25 most endangered primates.[25],,1358–12470,4115.125757495149
25,Golden bamboo lemur,Hapalemur aureus,"1,479[26]",CR[26],[26],[26],,1479,1479.0
26,Red slender loris,Loris tardigradus,"1,500[27]",EN[27],[27],,,1500,1500.0
27,Sangihe tarsier,Tarsius sangirensis,"1,505–2,795[28]",EN[28],[28],Population estimates are considered inconclusive.[28],,1505–2795,2050.9692830464323
28,Zanzibar red colobus,Procolobus kirkii,"2,000[29]",EN[29],[29],Maximum estimate.[29],,2000,2000.0
29,Black snub-nosed monkey,Rhinopithecus bieti,"2,000[30]",EN[30],[30],"Maximum estimate; less than 1,000 mature organisms.[30]",,2000,2000.0
30,Pagai Island macaque,Macaca pagensis,"2,100–3,700[31]",CR[31],[31],"Numbered 15,000 in 1980.[31]",,2100–3700,2787.471972953271
31,Javan surili,Presbytis comata,"2,285–2,500[32]",EN[32],[32],,,2285–2500,2390.083680543424
32,Lac Alaotra bamboo lemur,Hapalemur alaotrensis,"2,500[33]",CR[33],[33],Estimates were for 2002 and showed a decline of over 50% in under ten years.[33],,2500,2500.0
33,Moor macaque,Macaca maura,"3,000–5,000[34]",EN[34],[34],,,3000–5000,3872.9833462074166
34,Golden lion tamarin,Leontopithecus rosalia,"3,200[35]",EN[35],[35],"Minimum estimate; wild only.[35] In addition to these, there are about 490 golden lion tamarins in 150 zoos around the world.[36]",,3200,3200.0
35,Lion-tailed macaque,Macaca silenus,"4,000[37]",EN[37],[37],Estimate is a maximum.[37],,4000,4000.0
36,Silvery gibbon,Hylobates moloch,"4,000–4,500[38]",EN[38],[38],,,4000–4500,4242.640687119286
37,Gee's golden langur,Trachypithecus geei,"5,500[39]",EN[39],[39],"Maximum estimate; mature individuals number less than 2,500.[39]",,5500,5500.0
38,Eastern gorilla,Gorilla beringei,"5,880[40]",CR[40],[40],"Approximately 5,000 eastern lowland gorillas (G. b. graueri)[40] and 880 mountain gorillas (G. b. beringei).[41]",,5880,5880.0
39,Cotton-top tamarin,Saguinus oedipus,"6,000[42]",EN[42],[42],"Estimate for mature organisms is 2,000.[42]",,6000,6000.0
40,Golden-crowned sifaka,Propithecus tattersalli,"6,000–10,000[43]",CR[43],[43],,,6000–10000,7745.966692414834
41,Golden-headed lion tamarin,Leontopithecus chrysomelas,"6,000–15,000[44]",EN[44],[44],,,6000–15000,9486.832980505136
42,Pig-tailed langur,Simias concolor,"6,700–17,300[45]",EN[45],[45],"Down from an estimated 26,000 in 1980.[45]",,6700–17300,10766.150658429415
43,Gray-headed lemur,Eulemur cinereiceps,"7,265[46]",CR[46],[46],"Maximum population estimate is 7265 +/- 2,268.[46]",,7265,7265.0
44,Sumatran orangutan,Pongo abelii,"7,300[47]",CR[47],[47],,,7300,7300.0
45,Madame Berthe's mouse lemur,Microcebus berthae,"8,000[48]",EN[48],[48],Estimate is a maximum.[48],,8000,8000.0
46,Natuna Island surili,Presbytis natunae,"10,000[49]",VU[49],[49],,,10000,10000.0
47,Roosmalens' dwarf marmoset,Callibella humilis,"10,000[50]",VU[50],[50],,,10000,10000.0
48,Barbary macaque,Macaca sylvanus,"15,000[51]",EN[51],[51],Population may be underestimated.[51],,15000,15000.0
49,Udzungwa red colobus,Procolobus gordonorum,"15,400[52]",EN[52],[52],Population may be overestimated.[52],,15400,15400.0
50,Northern giant mouse lemur,Mirza zaza,"16,500–17,500[53]",VU[53],[53],,,16500–17500,16992.645467966428
51,Siberut macaque,Macaca siberu,"17,000–30,000[54]",VU[54],[54],Numbered 39 000 in 1980.[54],,17000–30000,22583.17958127244
52,Nilgiri langur,Trachypithecus johnii,"20,000[55]",VU[55],[55],"Maximum estimate; mature individuals number less than 10,000.[55]",,20000,20000.0
53,Red-eared guenon,Cercopithecus erythrotis,"20,000[56]",VU[56],[56],Minimum estimate.[56],,20000,20000.0
54,Kloss's gibbon,Hylobates klossii,"20,000–25,000[57]",EN[57],[57],,,20000–25000,22360.67977499787
55,Bonobo,Pan paniscus,"29,500–50,000[58]",EN[58],[58],Population may be underestimated.[58],,29500–50000,38405.72873934306
56,Mentawai langur,Presbytis potenziani,"36,000[59]",EN[59],[59],Maximum estimate.[59],,36000,36000.0
57,Bornean orangutan,Pongo pygmaeus,"47,000–73,000[60]",CR[60],[60],,,47000–73000,58574.73858242983
58,Western gorilla,Gorilla gorilla,"150,000–250,000[61]",CR[61],[61],Figures are considered an overestimation.[61],,150000–250000,193649.16731037092
59,Chimpanzee,Pan troglodytes,"172,700–299,700[62]",EN[62],[62],,,172700–299700,227504.26369630982
60,Gelada,Theropithecus gelada,"200,000[63]",LC[63],[63],,,200000,200000.0
61,Müller's Bornean gibbon,Hylobates muelleri,"250,000–375,000[64]",EN[64],[64],,,250000–375000,306186.2178478975
62,Crab-eating macaque,Macaca fascicularis,"2,500,000[65]",VU[66],,2003 estimate,,2500000,2500000.0
63,Human,Homo sapiens,"7,808,000,000[67]",LC[68],[68],,,7808000000,7808000000.0
